,equity
2024-02-28,1.5091593381387704e-33
2024-02-29,1.5091593381387704e-33
2024-03-01,1.5091593381387704e-33
2024-03-02,1.5091593381387704e-33
2024-03-03,1.5091593381387704e-33
2024-03-04,1.5091593381387704e-33
2024-03-05,1.5091593381387704e-33
2024-03-06,1.4338093506525613e-33
2024-03-07,1.3165113589231141e-33
2024-03-08,1.3165113589231141e-33
2024-03-09,1.2149879992138346e-33
2024-03-10,1.1406891149700484e-33
2024-03-11,1.0967646236660484e-33
2024-03-12,1.0967646236660484e-33
2024-03-13,1.0967646236660484e-33
2024-03-14,1.0967646236660484e-33
2024-03-15,9.950380797155535e-34
2024-03-16,9.871562324072697e-34
2024-03-17,9.199313711847057e-34
2024-03-18,7.794362269397287e-34
2024-03-19,6.909994731864037e-34
2024-03-20,6.464347663454896e-34
2024-03-21,6.181927093019252e-34
2024-03-22,5.6338358426196975e-34
2024-03-23,5.2250713782192054e-34
2024-03-24,4.666068283787573e-34
2024-03-25,4.489659907033622e-34
2024-03-26,3.983055377373916e-34
2024-03-27,3.6671290185629237e-34
2024-03-28,3.2771932838639122e-34
2024-03-29,2.6466336774161705e-34
2024-03-30,2.343772627516326e-34
2024-03-31,2.3173714704501995e-34
2024-04-01,2.3173714704501995e-34
2024-04-02,2.1445852945968e-34
2024-04-03,1.988862771159937e-34
2024-04-04,1.7156811906068245e-34
2024-04-05,1.497909268043028e-34
2024-04-06,1.3871380610515225e-34
2024-04-07,1.253612183401494e-34
2024-04-08,1.1770233506614259e-34
2024-04-09,9.791716347320367e-35
2024-04-10,9.017547137381059e-35
2024-04-11,8.133893354086648e-35
2024-04-12,6.624724792403242e-35
2024-04-13,6.148831750301015e-35
2024-04-14,5.251770559751558e-35
2024-04-15,4.838982183291417e-35
2024-04-16,4.436651862818094e-35
2024-04-17,3.6752075732963265e-35
2024-04-18,3.4540301656114896e-35
2024-04-19,3.2926905476932443e-35
2024-04-20,2.876230513245494e-35
2024-04-21,2.6666562071872456e-35
2024-04-22,2.3724788378101105e-35
2024-04-23,2.1069491730104406e-35
2024-04-24,2.0255414703633272e-35
2024-04-25,1.9061003954467168e-35
2024-04-26,1.7072306713122115e-35
2024-04-27,1.5234810960467456e-35
2024-04-28,1.4047521160910242e-35
2024-04-29,1.3404970179160218e-35
2024-04-30,1.1694540935076693e-35
2024-05-01,1.0681958200851187e-35
2024-05-02,9.530160547526251e-36
2024-05-03,9.350141617985509e-36
2024-05-04,8.663403192587162e-36
2024-05-05,8.084637557724562e-36
